epoch=01 | lr=0.00100000 | train_loss=2.5783 | val_loss=2.2948 | val_acc=0.2421 | val_macro_f1=0.1883
epoch=02 | lr=0.00100000 | train_loss=2.3542 | val_loss=2.0946 | val_acc=0.3246 | val_macro_f1=0.2801
epoch=03 | lr=0.00100000 | train_loss=2.1650 | val_loss=1.9384 | val_acc=0.3437 | val_macro_f1=0.3103
epoch=04 | lr=0.00100000 | train_loss=2.0111 | val_loss=1.8447 | val_acc=0.3934 | val_macro_f1=0.3605
epoch=05 | lr=0.00100000 | train_loss=1.8829 | val_loss=1.7930 | val_acc=0.4237 | val_macro_f1=0.3930
epoch=06 | lr=0.00100000 | train_loss=1.7794 | val_loss=1.7625 | val_acc=0.4250 | val_macro_f1=0.4105
epoch=07 | lr=0.00100000 | train_loss=1.6631 | val_loss=1.7292 | val_acc=0.4475 | val_macro_f1=0.4373
epoch=08 | lr=0.00100000 | train_loss=1.5702 | val_loss=1.8281 | val_acc=0.4524 | val_macro_f1=0.4337
epoch=09 | lr=0.00100000 | train_loss=1.5059 | val_loss=1.7987 | val_acc=0.4545 | val_macro_f1=0.4416
epoch=10 | lr=0.00100000 | train_loss=1.4562 | val_loss=1.9178 | val_acc=0.4829 | val_macro_f1=0.4599
epoch=11 | lr=0.00100000 | train_loss=1.4178 | val_loss=1.8432 | val_acc=0.4756 | val_macro_f1=0.4629
epoch=12 | lr=0.00100000 | train_loss=1.3734 | val_loss=1.9623 | val_acc=0.4933 | val_macro_f1=0.4763
epoch=13 | lr=0.00100000 | train_loss=1.3301 | val_loss=2.2216 | val_acc=0.4989 | val_macro_f1=0.4751
epoch=14 | lr=0.00100000 | train_loss=1.2593 | val_loss=2.1829 | val_acc=0.5086 | val_macro_f1=0.4931
epoch=15 | lr=0.00100000 | train_loss=1.2015 | val_loss=2.2757 | val_acc=0.5058 | val_macro_f1=0.4932
epoch=16 | lr=0.00100000 | train_loss=1.1518 | val_loss=2.4768 | val_acc=0.5154 | val_macro_f1=0.4954
epoch=17 | lr=0.00100000 | train_loss=1.1220 | val_loss=2.4063 | val_acc=0.5088 | val_macro_f1=0.4894
epoch=18 | lr=0.00050000 | train_loss=1.0970 | val_loss=2.2640 | val_acc=0.4953 | val_macro_f1=0.4856
epoch=19 | lr=0.00050000 | train_loss=1.0242 | val_loss=2.6251 | val_acc=0.5122 | val_macro_f1=0.4971
epoch=20 | lr=0.00050000 | train_loss=0.9916 | val_loss=2.7315 | val_acc=0.5118 | val_macro_f1=0.4937
